customer_id,event,time
85,depart,97.99926620470859
86,start,97.99926620470859
86,depart,98.39383955685655
87,start,98.39383955685655
87,depart,98.71427048016147
88,start,98.71427048016147
88,depart,99.57885728977288
89,start,99.57885728977288
89,depart,99.75400896508405
90,start,99.75400896508405
90,depart,100.08073248877123
91,start,100.08073248877123
91,depart,100.11085074954623
92,start,100.11085074954623
92,depart,100.85910498033583
93,start,100.85910498033583
97,arrive,100.8778480540581
98,arrive,101.40739760228395
93,depart,101.48765690078308
94,start,101.48765690078308
99,arrive,101.83547370869498
94,depart,101.93037451481929
95,start,101.93037451481929
100,arrive,102.18880842512382
95,depart,102.34185231344925
96,start,102.34185231344925
101,arrive,102.9120629815378
102,arrive,102.9572149731543
103,arrive,104.0863053865951
96,depart,104.48912773731792
97,start,104.48912773731792
104,arrive,104.67659806236075
105,arrive,105.90705758629636
106,arrive,106.47206279248182
97,depart,107.43041603947495
98,start,107.43041603947495
98,depart,107.586757592972
99,start,107.586757592972
99,depart,107.94230527818007
100,start,107.94230527818007
107,arrive,108.32900859086054
100,depart,109.13384708760647
101,start,109.13384708760647
101,depart,109.74830336379512
102,start,109.74830336379512
102,depart,111.39280375544043
103,start,111.39280375544043
108,arrive,111.88490348819352
103,depart,113.41568888017474
104,start,113.41568888017474
109,arrive,113.4536977517626
110,arrive,113.72358373271075
104,depart,113.74245530304486
105,start,113.74245530304486
105,depart,114.98264764746493
106,start,114.98264764746493
111,arrive,115.22012626378384
106,depart,115.23449218914327
107,start,115.23449218914327
112,arrive,115.47895769564954
107,depart,115.65770992185882
108,start,115.65770992185882
108,depart,115.80758098219178
109,start,115.80758098219178
113,arrive,115.83219276494609
114,arrive,116.98653099310243
109,depart,117.38063422231669
110,start,117.38063422231669
115,arrive,117.47549658922088
116,arrive,118.51262865982352
110,depart,119.41708185210517
111,start,119.41708185210517
111,depart,119.63923723774899
112,start,119.63923723774899
112,depart,119.65228771922082
113,start,119.65228771922082
113,depart,119.83349309784599
114,start,119.83349309784599
114,depart,119.92659145537917
115,start,119.92659145537917
117,arrive,120.30671387340327
118,arrive,120.3145873277931
115,depart,121.26687280984733
116,start,121.26687280984733
119,arrive,122.23329815762257
120,arrive,122.89649963408984
116,depart,124.71743218577882
117,start,124.71743218577882
121,arrive,125.96587742194134
122,arrive,126.054195577742
117,depart,126.39534319872905
118,start,126.39534319872905
123,arrive,127.25042715006778
118,depart,127.43900219456297
119,start,127.43900219456297
119,depart,127.46120319532868
120,start,127.46120319532868
124,arrive,127.46283457055549
120,depart,127.5460125857769
121,start,127.5460125857769
125,arrive,127.74700308098977
126,arrive,127.89917947978982
127,arrive,128.24264903430213
128,arrive,129.51099941499646
121,depart,130.52595935084213
122,start,130.52595935084213
129,arrive,130.53469196304377
122,depart,130.5829461608096
123,start,130.5829461608096
130,arrive,130.80693734678962
131,arrive,131.09389344177671
123,depart,131.1740548121474
124,start,131.1740548121474
132,arrive,131.35595265227388
124,depart,131.77885773735235
125,start,131.77885773735235
133,arrive,132.74245502482813
134,arrive,134.09053592397126
135,arrive,134.53516530304415
125,depart,135.54590838357382
126,start,135.54590838357382
126,depart,137.29475564307157
127,start,137.29475564307157
127,depart,138.63335866661825
128,start,138.63335866661825
128,depart,139.41906063333658
129,start,139.41906063333658
129,depart,139.87943522572849
130,start,139.87943522572849
130,depart,141.26892166504874
131,start,141.26892166504874
131,depart,141.31553470278348
132,start,141.31553470278348
132,depart,142.27444152396168
133,start,142.27444152396168
136,arrive,142.65145135288554
137,arrive,142.883137748313
133,depart,142.9444926578114
134,start,142.9444926578114
134,depart,144.5535643395201
135,start,144.5535643395201
135,depart,145.00756976723395
136,start,145.00756976723395
138,arrive,145.38853112121987
139,arrive,145.56430915602087
136,depart,145.88097763896906
137,start,145.88097763896906
140,arrive,146.0639211941971
137,depart,146.59477666805148
138,start,146.59477666805148
138,depart,146.63247875087163
139,start,146.63247875087163
